proto,duration,packets,bytes,pps,bps,avg_pkt
6,4.395,8,756,1.82,172.008,94.5
17,15.841,17,6417,1.073,405.091,377.471
17,15.816,15,9563,0.948,604.637,637.533
6,16.384,2,460,0.122,28.076,230.0
6,10.082,20,2113,1.984,209.587,105.65
6,5.005,4,484,0.799,96.698,121.0
17,96.125,6,2044,0.062,21.264,340.667
6,6.399,12,11151,1.875,1742.511,929.25
6,4.13,5,370,1.211,89.589,74.0
6,6.199,9,890,1.452,143.582,98.889
6,5.006,2,352,0.4,70.313,176.0
6,20.343,12,8904,0.59,437.692,742.0
6,20.34,13,3480,0.639,171.095,267.692
6,4.325,12,3325,2.775,768.781,277.083
6,4.441,14,9506,3.152,2140.512,679.0
17,15.024,12,4759,0.799,316.75,396.583
17,15.002,13,6352,0.867,423.411,488.615
6,49.244,9,4496,0.183,91.3,499.556
6,49.23,11,3921,0.223,79.647,356.455
6,9.819,35,3103,3.565,316.029,88.657
6,18.432,2,132,0.109,7.161,66.0
6,9.828,92,332648,9.361,33846.944,3615.739
6,30.19,3,241,0.099,7.983,80.333
17,28.684,45,34662,1.569,1208.406,770.267
6,30.19,3,278,0.099,9.208,92.667
6,5.549,14,13297,2.523,2396.367,949.786
6,5.008,4,484,0.799,96.646,121.0
6,5.738,13,1160,2.266,202.166,89.231
17,28.76,55,35234,1.912,1225.123,640.618
6,4.051,4,216,0.987,53.319,54.0
17,6.676,3,213,0.449,31.903,71.0
6,5.003,2,352,0.4,70.356,176.0
17,6.651,2,137,0.301,20.599,68.5
17,27.001,2,142,0.074,5.259,71.0
17,27.003,2,136,0.074,5.037,68.0
6,5.335,8,6786,1.5,1271.956,848.25
6,10.096,41,3499,4.061,346.559,85.341
6,5.334,6,593,1.125,111.184,98.833
6,10.098,110,660324,10.893,65392.592,6002.945
6,27.428,9,949,0.328,34.6,105.444
6,27.468,8,901,0.291,32.801,112.625
6,5.08,4,484,0.787,95.283,121.0
6,7.108,9,3880,1.266,545.864,431.111
6,4.387,12,2793,2.736,636.706,232.75
6,7.198,9,2561,1.25,355.802,284.556
6,4.339,11,7490,2.535,1726.343,680.909
6,47.034,7,2373,0.149,50.453,339.0
6,5.003,2,352,0.4,70.36,176.0
6,48.846,15,4350,0.307,89.056,290.0
6,10.29,4,470,0.389,45.677,117.5
17,22.775,2,686,0.088,30.12,343.0
6,48.843,18,3953,0.369,80.932,219.611
6,10.331,6,576,0.581,55.753,96.0
6,47.277,7,1300,0.148,27.497,185.714
6,47.276,7,2625,0.148,55.525,375.0
6,47.033,7,2529,0.149,53.771,361.286
6,4.094,9,6995,2.198,1708.579,777.222
6,4.094,7,655,1.71,159.986,93.571
6,4.086,5,370,1.224,90.561,74.0
17,15.046,2,185,0.133,12.295,92.5
17,14.977,2,145,0.134,9.682,72.5
6,5.021,4,484,0.797,96.399,121.0
6,7.672,3,842,0.391,109.746,280.667
6,5.0,8,824,1.6,164.785,103.0
6,7.672,3,262,0.391,34.151,87.333
6,45.056,2,132,0.044,2.93,66.0
6,5.648,11,9106,1.948,1612.31,827.818
6,45.052,2,132,0.044,2.93,66.0
6,5.004,2,352,0.4,70.34,176.0
6,47.268,15,3990,0.317,84.413,266.0
6,4.667,10,957,2.143,205.051,95.7
6,47.265,17,9268,0.36,196.086,545.176
6,9.843,53,5084,5.384,516.488,95.925
6,9.834,144,662140,14.643,67330.823,4598.194
6,6.067,10,7031,1.648,1158.856,703.1
6,5.006,4,484,0.799,96.692,121.0
6,4.566,3,673,0.657,147.398,224.333
6,48.703,18,5739,0.37,117.838,318.833
6,48.706,21,12149,0.431,249.435,578.524
6,6.14,5,519,0.814,84.524,103.8
6,5.003,2,352,0.4,70.36,176.0
6,4.736,9,8861,1.9,1871.069,984.556
6,4.741,7,654,1.477,137.953,93.429
17,27.001,3,213,0.111,7.889,71.0
17,27.028,2,138,0.074,5.106,69.0
17,14.976,2,145,0.134,9.682,72.5
17,15.046,2,186,0.133,12.362,93.0
6,4.1,11,8968,2.683,2187.33,815.273
17,28.932,5,1796,0.173,62.076,359.2
6,5.008,4,484,0.799,96.642,121.0
6,4.333,9,919,2.077,212.09,102.111
6,13.733,4,441,0.291,32.112,110.25
6,5.027,2,352,0.398,70.022,176.0
6,46.303,6,1234,0.13,26.65,205.667
6,12.31,2,132,0.162,10.723,66.0
6,46.361,7,2652,0.151,57.203,378.857
6,7.14,10,12265,1.401,1717.872,1226.5
6,10.127,70,6206,6.912,612.812,88.657
6,10.118,135,661733,13.343,65403.443,4901.726
6,5.068,4,484,0.789,95.496,121.0
6,7.356,12,1078,1.631,146.543,89.833
6,20.001,3,246,0.15,12.299,82.0
6,45.715,3,223,0.066,4.878,74.333
6,5.003,2,352,0.4,70.354,176.0
6,20.001,2,188,0.1,9.4,94.0
6,8.065,9,8834,1.116,1095.362,981.556
6,45.548,3,227,0.066,4.984,75.667
6,9.999,4,474,0.4,47.403,118.5
6,9.998,4,336,0.4,33.607,84.0
17,15.045,2,186,0.133,12.363,93.0
17,14.976,2,145,0.134,9.682,72.5
6,5.489,6,595,1.093,108.393,99.167
6,30.191,3,284,0.099,9.407,94.667
6,30.353,4,344,0.132,11.333,86.0
6,5.008,4,484,0.799,96.648,121.0
17,27.001,2,142,0.074,5.259,71.0
17,27.006,2,136,0.074,5.036,68.0
6,5.894,12,11080,2.036,1879.995,923.333
6,5.024,2,352,0.398,70.07,176.0
6,4.67,10,958,2.141,205.131,95.8
6,47.108,33,5718,0.701,121.38,173.273
6,47.119,45,69891,0.955,1483.294,1553.133
6,10.156,61,5612,6.006,552.596,92.0
6,10.105,144,663162,14.25,65626.823,4605.292
17,28.929,7,2449,0.242,84.656,349.857
6,5.025,4,484,0.796,96.313,121.0
6,7.733,11,2077,1.423,268.602,188.818
6,6.237,12,11515,1.924,1846.197,959.583
6,8.826,13,1425,1.473,161.451,109.615
6,6.257,10,954,1.598,152.466,95.4
6,5.01,2,352,0.399,70.26,176.0
6,19.996,3,222,0.15,11.102,74.0
6,4.095,10,9015,2.442,2201.642,901.5
17,15.046,2,186,0.133,12.362,93.0
17,14.976,2,145,0.134,9.682,72.5
6,5.012,4,484,0.798,96.569,121.0
6,4.928,9,888,1.826,180.21,98.667
6,5.933,10,8927,1.685,1504.601,892.7
6,5.003,2,352,0.4,70.361,176.0
6,10.114,10,1298,0.989,128.341,129.8
6,10.175,9,2794,0.885,274.601,310.444
17,9.358,2,686,0.214,73.306,343.0
6,10.107,59,5480,5.837,542.179,92.881
6,4.135,8,822,1.935,198.775,102.75
6,10.098,72,657523,7.13,65112.737,9132.264
6,30.192,3,241,0.099,7.982,80.333
17,27.001,2,142,0.074,5.259,71.0
6,5.005,4,484,0.799,96.706,121.0
6,4.47,5,903,1.119,202.016,180.6
6,5.182,12,11151,2.316,2151.679,929.25
17,27.0,2,140,0.074,5.185,70.0
6,4.857,8,2650,1.647,545.654,331.25
6,5.003,2,352,0.4,70.358,176.0
6,20.0,2,188,0.1,9.4,94.0
6,24.502,4,429,0.163,17.509,107.25
6,23.753,3,270,0.126,11.367,90.0
6,5.131,10,993,1.949,193.547,99.3
6,6.181,2,126,0.324,20.385,63.0
6,6.153,12,11151,1.95,1812.16,929.25
17,15.044,2,186,0.133,12.363,93.0
17,14.975,2,145,0.134,9.683,72.5
6,5.005,4,484,0.799,96.705,121.0
6,4.487,5,903,1.114,201.235,180.6
6,4.823,9,2716,1.866,563.171,301.778
6,5.007,2,352,0.399,70.296,176.0
6,45.056,2,132,0.044,2.93,66.0
6,6.939,12,9177,1.729,1322.5,764.75
6,45.057,2,132,0.044,2.93,66.0
6,5.847,39,4894,6.67,836.975,125.487
6,5.343,11,1020,2.059,190.905,92.727
6,5.839,91,441324,15.584,75579.635,4849.714
6,33.35,2,120,0.06,3.598,60.0
6,5.016,4,484,0.797,96.495,121.0
6,12.814,2,191,0.156,14.906,95.5
6,45.055,2,132,0.044,2.93,66.0
17,18.34,4,284,0.218,15.485,71.0
17,9.921,12,7830,1.21,789.266,652.5
6,6.918,10,8927,1.445,1290.309,892.7
17,18.343,2,138,0.109,7.523,69.0
6,6.919,8,822,1.156,118.799,102.75
6,45.05,2,132,0.044,2.93,66.0
6,45.619,3,223,0.066,4.888,74.333
17,10.912,58,27398,5.315,2510.731,472.379
6,5.027,2,352,0.398,70.029,176.0
6,25.226,46,92935,1.824,3684.104,2020.326
6,45.452,2,161,0.044,3.542,80.5
6,20.045,4,312,0.2,15.565,78.0
17,27.001,2,142,0.074,5.259,71.0
17,27.002,2,136,0.074,5.037,68.0
6,7.191,8,2495,1.112,346.954,311.875
6,7.104,8,3814,1.126,536.848,476.75
17,14.976,2,145,0.134,9.682,72.5
6,5.294,57,3865,10.767,730.081,67.807
6,4.687,12,11151,2.56,2379.031,929.25
17,15.046,2,186,0.133,12.362,93.0
6,5.029,4,484,0.795,96.238,121.0
6,4.739,9,892,1.899,188.223,99.111
6,11.128,3,270,0.27,24.263,90.0
17,7.832,29,7876,3.703,1005.578,271.586
17,7.788,28,8652,3.595,1110.939,309.0
17,8.297,57,17655,6.87,2127.919,309.737
6,9.172,99,10021,10.794,1092.608,101.222
6,18.622,8,4131,0.43,221.83,516.375
17,10.18,45,16124,4.421,1583.949,358.311
17,9.301,112,73472,12.042,7899.772,656.0
6,7.303,41,62744,5.614,8591.026,1530.341
6,18.642,9,3931,0.483,210.866,436.778
17,10.191,49,29348,4.808,2879.881,598.939
6,9.256,142,13273,15.342,1434.0,93.472
6,9.162,140,954308,15.28,104159.092,6816.486
6,9.246,279,1376352,30.174,148851.712,4933.161
6,5.003,2,352,0.4,70.357,176.0
6,4.207,8,6864,1.902,1631.559,858.0
6,4.401,9,895,2.045,203.347,99.444
17,4.465,40,19342,8.958,4331.571,483.55
17,4.459,45,31320,10.093,7024.63,696.0
17,28.777,8,2830,0.278,98.342,353.75
6,5.17,87,5742,16.829,1110.712,66.0
17,18.594,18,8927,0.968,480.108,495.944
6,4.664,72,154753,15.439,33182.829,2149.347
17,18.616,18,7546,0.967,405.359,419.222
17,6.553,14,2581,2.136,393.84,184.357
17,8.931,21,2468,2.351,276.326,117.524
6,5.004,4,484,0.799,96.713,121.0
17,6.674,14,4760,2.098,713.214,340.0
17,8.909,20,4188,2.245,470.064,209.4
6,6.417,13,13123,2.026,2045.055,1009.462
17,6.071,45,15802,7.412,2602.681,351.156
17,6.331,71,40680,11.215,6425.484,572.958
6,5.006,2,352,0.4,70.318,176.0
6,19.998,2,188,0.1,9.401,94.0
6,16.0,3,338,0.187,21.125,112.667
6,6.276,11,1023,1.753,163.001,93.0
6,10.306,85,11098,8.247,1076.805,130.565
17,15.044,2,186,0.133,12.364,93.0
6,5.006,3,418,0.599,83.503,139.333
17,14.976,2,145,0.134,9.682,72.5
6,10.31,215,2003780,20.854,194357.58,9319.907
6,7.167,13,11330,1.814,1580.886,871.538
6,13.555,80,5280,5.902,389.529,66.0
17,6.096,26,13473,4.265,2210.154,518.192
17,9.302,35,28111,3.763,3022.085,803.171
6,13.556,88,171022,6.491,12615.772,1943.432
6,4.79,79,6799,16.493,1419.476,86.063
6,4.096,8,834,1.953,203.629,104.25
6,16.093,2,1462,0.124,90.847,731.0
6,5.003,2,352,0.4,70.358,176.0
6,16.115,4,1647,0.248,102.204,411.75
6,5.003,3,308,0.6,61.563,102.667
6,16.158,17,1567,1.052,96.977,92.176
17,16.155,16,2751,0.99,170.291,171.938
6,31.624,93,427055,2.941,13503.955,4591.989
17,16.121,12,1327,0.744,82.315,110.583
6,31.674,73,11098,2.305,350.385,152.027
17,16.199,21,8158,1.296,503.605,388.476
17,16.139,13,6736,0.806,417.382,518.154
6,16.204,26,112993,1.604,6972.956,4345.885
6,10.015,3,1455,0.3,145.288,485.0
6,4.247,119,7854,28.017,1849.147,66.0
17,4.633,101,48213,21.801,10407.027,477.356
6,10.142,4,400,0.394,39.439,100.0
17,4.485,95,46969,21.18,10471.684,494.411
6,4.247,127,249950,29.902,58849.996,1968.11
6,4.139,330,1980315,79.735,478486.859,6000.955
6,32.975,52,180896,1.577,5485.885,3478.769
6,6.192,12,11038,1.938,1782.685,919.833
6,33.02,34,8528,1.03,258.268,250.824
6,45.541,6,1234,0.132,27.097,205.667
6,45.53,7,2561,0.154,56.248,365.857
6,5.457,11,1069,2.016,195.887,97.182
6,47.261,7,2602,0.148,55.056,371.714
6,47.275,6,2291,0.127,48.461,381.833
6,20.008,3,246,0.15,12.295,82.0
6,7.037,48,3211,6.821,456.324,66.896
17,7.537,46,21149,6.103,2806.067,459.761
6,8.341,37,3236,4.436,387.958,87.459
6,8.239,4,2310,0.485,280.37,577.5
6,5.014,2,352,0.399,70.204,176.0
17,8.605,28,5449,3.254,633.257,194.607
17,7.511,51,32997,6.79,4393.155,647.0
6,7.037,48,87611,6.821,12450.577,1825.229
17,8.492,18,2246,2.12,264.47,124.778
6,8.26,5,1612,0.605,195.157,322.4
6,5.016,4,484,0.797,96.495,121.0
17,8.577,32,18583,3.731,2166.489,580.719
17,8.515,19,6281,2.231,737.678,330.579
6,9.318,123,15072,13.2,1617.524,122.537
6,8.384,127,855726,15.149,102072.07,6738.0
6,7.31,13,11252,1.778,1539.166,865.538
6,5.221,7,666,1.341,127.56,95.143
17,4.084,26,13494,6.367,3304.388,519.0
17,4.056,47,46061,11.588,11356.167,980.021
17,15.043,2,186,0.133,12.364,93.0
17,14.975,2,145,0.134,9.683,72.5
17,16.357,11,4297,0.672,262.696,390.636
6,48.782,7,2655,0.143,54.426,379.286
17,16.378,9,1684,0.55,102.823,187.111
6,48.801,6,1234,0.123,25.286,205.667
6,48.789,6,1234,0.123,25.292,205.667
